epoch,accuracy,loss,val_accuracy,val_loss
0,0.7774999737739563,0.6149510741233826,0.7287499904632568,0.7551833987236023
1,0.8529999852180481,0.34250131249427795,0.8212500214576721,0.4119388163089752
2,0.8889999985694885,0.2901715040206909,0.9012500047683716,0.2624085545539856
3,0.8985000252723694,0.24642977118492126,0.8487499952316284,0.4180960953235626
4,0.9179999828338623,0.21130770444869995,0.8949999809265137,0.30128994584083557
5,0.9279999732971191,0.18671557307243347,0.9024999737739563,0.29450342059135437
6,0.9415000081062317,0.1527155637741089,0.8924999833106995,0.4073931872844696
7,0.9340000152587891,0.1644277274608612,0.8987500071525574,0.32327035069465637
8,0.9440000057220459,0.13732659816741943,0.8949999809265137,0.3961619436740875
9,0.953000009059906,0.12710024416446686,0.875,0.4914548993110657
